Grégny,FR,2.86,-1.43
city,country,temp_max,temp_min
Plérin,FR,8.32,5.11
city,country,temp_max,temp_min
Arrondissement de Rambouillet,FR,4.8,1.68
city,country,temp_max,temp_min
Saint-Germain-de-la-Grange,FR,5.18,2.85
city,country,temp_max,temp_min
Allier,FR,3.01,-0.56
city,country,temp_max,temp_min
Pouillon,FR,8.1,0.98
city,country,temp_max,temp_min
Aiffres,FR,3.56,1.95
city,country,temp_max,temp_min
Aiffres,FR,3.49,2.36
city,country,temp_max,temp_min
Arrondissement de Dijon,FR,1.57,-1.77
city,country,temp_max,temp_min
Marcilly-sur-Tille,FR,2.16,-1.19
city,country,temp_max,temp_min
Marcilly-sur-Tille,FR,2.13,-1.22
city,country,temp_max,temp_min
Montaigut-sur-Save,FR,8.58,5.27
city,country,temp_max,temp_min
Allennes-les-Marais,FR,7.17,5.51
city,country,temp_max,temp_min
Quiberon,FR,7.82,5.78
city,country,temp_max,temp_min
Nexon,FR,8.45,2.18
city,country,temp_max,temp_min
Loiret,FR,3.14,0.92
city,country,temp_max,temp_min
La Jacqueminière,FR,1.83,0.66
city,country,temp_max,temp_min
Quévert,FR,7.07,4.67
city,country,temp_max,temp_min
Hazebrouck,FR,7.86,5.51
city,country,temp_max,temp_min
Villeurbanne,FR,3.45,-1.36
city,country,temp_max,temp_min
Arrondissement de Brest,FR,7.17,6.12
city,country,temp_max,temp_min
Amiens,FR,6.92,5.48
city,country,temp_max,temp_min
Strasbourg,FR,4.21,-2.08
city,country,temp_max,temp_min
Nanterre,FR,5.55,3.26
city,country,temp_max,temp_min
Orne,FR,5.3,5.3
city,country,temp_max,temp_min
Créteil,FR,5.56,3.23
city,country,temp_max,temp_min
Saint-Denis,FR,5.68,3.35
city,country,temp_max,temp_min
Clermont-Ferrand,FR,-1.05,-3.34
city,country,temp_max,temp_min
Clermont-Ferrand,FR,-1.23,-3.53
city,country,temp_max,temp_min
Arrondissement de Tarbes,FR,6.87,1.06
city,country,temp_max,temp_min
Clermont,FR,5.46,3.62
city,country,temp_max,temp_min
Perpignan,FR,8.04,5.24
city,country,temp_max,temp_min
Calvados,FR,6.35,5.88
city,country,temp_max,temp_min
Le Mans,FR,4.94,3.5
city,country,temp_max,temp_min
Le Mans,FR,4.94,3.5
city,country,temp_max,temp_min
Reims,FR,5.23,2.53
city,country,temp_max,temp_min
Argentan,FR,5.87,5.4
city,country,temp_max,temp_min
Arrondissement de Roanne,FR,2.3,-1.22
city,country,temp_max,temp_min
Roanne,FR,0.97,-0.79
city,country,temp_max,temp_min
Landerneau,FR,8.55,6.56
city,country,temp_max,temp_min
Arrondissement de Beauvais,FR,6.46,3.51
city,country,temp_max,temp_min
Ville-d'Avray,FR,5.11,2.9
city,country,temp_max,temp_min
Fontainebleau,FR,5.93,1.77
city,country,temp_max,temp_min
Chamalières,FR,-1.3,-3.6
city,country,temp_max,temp_min
Saint-Brieuc,FR,7.85,4.64
city,country,temp_max,temp_min
Nièvre,FR,3.14,0.3
city,country,temp_max,temp_min
La Seyne-sur-Mer,FR,12.16,0.47
city,country,temp_max,temp_min
Coutances,FR,7.4,4.92
city,country,temp_max,temp_min
Coutances,FR,7.4,4.92
city,country,temp_max,temp_min
Mondeville,FR,6.88,6.41
city,country,temp_max,temp_min
Yèvres,FR,3.38,1.8
city,country,temp_max,temp_min
Saverne,FR,6.06,-2.4
city,country,temp_max,temp_min
Lunéville,FR,4.88,2.94
city,country,temp_max,temp_min
Arrondissement du Puy-en-Velay,FR,-2.57,-2.57
city,country,temp_max,temp_min
Coubon,FR,-1.6,-1.6
city,country,temp_max,temp_min
Coubon,FR,-1.6,-1.6
city,country,temp_max,temp_min
Arrondissement de Charleville-Mézières,FR,5.7,3.32
city,country,temp_max,temp_min
Arrondissement de Bonneville,FR,-3.5,-9.87
city,country,temp_max,temp_min
Sotteville,FR,7.44,6.09
city,country,temp_max,temp_min
Riva-Bella,FR,6.89,6.42
city,country,temp_max,temp_min
Arrondissement de Saint-Julien-en-Genevois,FR,1.61,-4.61
city,country,temp_max,temp_min
Labenne,FR,10.6,3.06
city,country,temp_max,temp_min
